Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
1829606F	ТОРМОЗНОЙ ДИСК	FO.ЗЧ	1829606	2		2,00	0,00	2,00
182984	Бампер задний SY STAVIC II 7881021610	SY.ЗЧ.КУЗ	7881021610	2		1,00	0,00	1,00
1829873F	ДЕТАЛЬ FORD	FO.ЗЧ.AM	1829873	2		1,00	0,00	1,00
182998	Шлифок Hookit абразивный, гибкий P1000 170 х 140мм,34341 25шт.	МЛ.РСХ.АБР	34341	2		25,00	0,00	25,00
182999	Шлифок Hookit абразивный, гибкий P600 170 х 140мм, 34339 25шт.	МЛ.РСХ.АБР	34339	2		25,00	0,00	25,00
183012	Насадки на лапы подъемника, комплект (2шт.H=80мм 2шт.H=220мм.) S305A9	ПП.ИН	S305A9	Ин		1,00	0,00	1,00
1830461F	Набор дорожный, Ford	FO.АКС	1830461	1		23,00	5,00	18,00
1830461F	Набор дорожный, Ford	FO.АКС	1830461	Вт		4,00	0,00	4,00
183067	Винт 5х16 DIN прессшайба оцинк. (1000шт) 9700-301-516-10	РСХ.ТЦ.ОБ	183067	2		312,00	2,00	310,00
1831003F	МАТ ЗАДНЕЙ СЕКЦИИ ПОЛА	FO.ЗЧ	1831003	2		1,00	0,00	1,00
183126	Зеркало заднего вида  VDR-TY-05 с дисплеем	ДОП.МУЛ	INCAR VDR-TY-05	2		1,00	0,00	1,00
183133	LiquiMoly Жидкость для очистки инжектора дизельного двигателя JetClean Diesel-Syst.-Rein.(0,5л) 5154	FO.РСХ	5154	1		9,00	0,00	9,00
183134	LiquiMoly Жидкость для очистки инжектора бензинового двигателя JetClean Benz.Syst.Rein.Konz. (0,5л)	FO.РСХ	5152	1		7,00	0,00	7,00
183136	LiquiMoly Очиститель универсальный (спрей), Vergaser-Aussen-Rein. (0,4л)  3918	FO.РСХ	3918	2		25,00	0,00	25,00
183137	LiquiMoly Бесцветная смазка-силикон Silicon-Spray (0,3л)  3955	FO.РСХ	3955	1		1,00	1,00	0,00
183137	LiquiMoly Бесцветная смазка-силикон Silicon-Spray (0,3л)  3955	FO.РСХ	3955	2		82,50	0,00	82,50
1831404F	Спойлер заднего бампера	FO.ЗЧ	1831404	2		2,00	2,00	0,00
1831473F	Фара правая FORD ECOSPORT	FO.ЗЧ.AM	1831473	2		1,00	0,00	1,00
1831491F	ДЕТАЛЬ FORD	FO.ЗЧ	1831491	2		1,00	0,00	1,00
1831528F	Крышка бачка тормозной жидкости / FORD Focus-III	FO.ЗЧ	1831528	2		1,00	0,00	1,00
183172	Набор Ford: карманный нож и фонарик, 34560730	FO.АКС.ЛОК	34560730	4		1,00	0,00	1,00
183186	LiquiMoly Алюминиевый спрей Aluminium-Spray (0,05л), 7560	FO.РСХ	7560	1		1,00	1,00	0,00
183186	LiquiMoly Алюминиевый спрей Aluminium-Spray (0,05л), 7560	FO.РСХ	7560	2		69,00	0,00	69,00
183224	Переходник  INTRO ISO ANT-3 VW с питанием двойной	ДОП.МУЛ	ANT-3	2		7,00	0,00	7,00
183250	Комплект переходников для излучателя измерительной ультразвук системы Shark SH9.15RU	ПП.ИН	к-кт перех-ков Shark	Цех		1,00	0,00	1,00
183254	Верстак безтумб серый 1450х700х890	ПП.ИН	Верстак безтумб	Цех		1,00	0,00	1,00
183255	Линейка измерительная для излучателя измерительной ультразвук системы Shark SH9.15RU	ПП.ИН	Линейка для Shark	Цех		1,00	0,00	1,00
183264	Зажим для (вертолетов 12011A ) 12201	ПП.ЗЧ	12201	Ин		3,00	0,00	3,00
183264	Зажим для (вертолетов 12011A ) 12201	ПП.ЗЧ	12201	ИнБр		18,00	0,00	18,00
183282	Шкаф одежный	ПП.ИН	шкаф	Цех		3,00	0,00	3,00
183289	Емкость топливная 2000л	ПП.ИН	Емкость	Цех		2,00	0,00	2,00
183290	Емкость топливная 1000л	ПП.ИН	Емкость	Цех		1,00	0,00	1,00
1832956F	Бампер передний	FO.ЗЧ	1832956	2		1,00	1,00	0,00
183299	Инструмент д/запресс нар и внутр вклад подшипника в креп отверстие дифф вала, 308-391	ПП.ИН	308-391	Ин		1,00	0,00	1,00
183300	Инструмент д/определения толщины регул шайб ведущ конич шестерни в зад оси с дифференциалом, 205-937	ПП.ИН	205-937	Ин		1,00	0,00	1,00
1833281F	ДЕТАЛЬ FORD	FO.ЗЧ	1833281	2		1,00	0,00	1,00
183417	Ластик для снятия клейких лент, 23мм	МЛ.РСХ	SA-6903RW	2		2,00	0,00	2,00
183421	"Халат мужской ""FORD"" размер 44-46 рост 170-176"	ПП.СО	"Халат мужской ""FORD"""	Бр		1,00	0,00	1,00
183421	"Халат мужской ""FORD"" размер 44-46 рост 170-176"	ПП.СО	"Халат мужской ""FORD"""	Цех		2,00	0,00	2,00
183450	"Куртка утепленная ""FORD"" размер 44-46 рост 170-176"	ПП.СО	"Куртка утепленная ""F"	Цех		3,00	0,00	3,00
183451	"Куртка утепленная ""FORD"" размер 48-50 рост 170-176"	ПП.СО	"Куртка утепленная ""F"	Цех		4,00	0,00	4,00
183452	"Куртка утепленная ""FORD"" размер 52-54 рост 170-176"	ПП.СО	"Куртка утепленная ""F"	Цех		6,00	0,00	6,00
183453	"Куртка утепленная ""FORD"" размер 52-54 рост 182-188"	ПП.СО	"Куртка утепленная ""F"	Цех		5,00	0,00	5,00
183454	"Куртка утепленная ""FORD"" размер 56-58 рост 170-176"	ПП.СО	"Куртка утепленная ""F"	Бр		1,00	0,00	1,00
183455	"Куртка утепленная ""FORD"" размер 56-58 рост 182-188"	ПП.СО	"Куртка утепленная ""F"	Цех		3,00	0,00	3,00
183461	Ковер багажника  EcoSport  ORIG.16.59.B13	FO.АКС	ORIG.16.59.B13	2		6,00	0,00	6,00
183480	Держатель автомобильный для смартфонов ParkCity CH-001	ДОП.МУЛ	ParkCity CH-001	2		1,00	0,00	1,00
183480	Держатель автомобильный для смартфонов ParkCity CH-001	ДОП.МУЛ	ParkCity CH-001	4		1,00	0,00	1,00
183480	Держатель автомобильный для смартфонов ParkCity CH-001	ДОП.МУЛ	ParkCity CH-001	Вт		1,00	0,00	1,00
1835002F	Коврик в багажник Ecosport	FO.АКС	1835002	2		1,00	0,00	1,00
1835005F	Брызговики передние Ecosport	FO.АКС	1835005	2		1,00	0,00	1,00
1835007F	Брызговики задние Ecosport	FO.АКС	1835007	2		1,00	0,00	1,00
183503	Демпфер угловой, 800х120х8 мм., закругленный угол	ПП.ЗЧ	демпфер 800х120х8	Цех		15,00	0,00	15,00
183528	Основание на камеру переднее, NOV-13-000625	ПП.ИН	NOV-13-000625	Цех		1,00	0,00	1,00
183529	Заслонка 800х800Р, NOV-13-000691	ПП.ИН	NOV-13-000691	Цех		1,00	0,00	1,00
183530	Блок клапанов, NOV-13-000120	ПП.ИН	NOV-13-000120	Цех		1,00	0,00	1,00
183539	Цепь с двумя крюками 1500 мм. 1502/S	ПП.ИН	1502/S	Ин		2,00	0,00	2,00
183540	Цепь с двумя крюками 2000 мм. 2002/S	ПП.ИН	2002/S	Ин		1,00	0,00	1,00
1835511F	Ремкомп-кт. Карданного шарнира	FO.ЗЧ	1835511	2		1,00	0,00	1,00
183555	Тележка ТБ 7 800х1400 (200 ЛРП. Трубчатый борт)	ПП.ИН	ТБ	Цех		3,00	0,00	3,00
183570	Тарелка магнитная 240х140 мм. MAGT2 8951011489	ПП.ИН	8951011489	Ин		3,00	0,00	3,00
183570	Тарелка магнитная 240х140 мм. MAGT2 8951011489	ПП.ИН	8951011489	Цех		1,00	0,00	1,00
183571	"Набор голово 1/4"" и шестигранников TCS 40/41/44/8 Stahlwille 96830217"	ПП.ИН	96830217	Ин		2,00	0,00	2,00
183571	"Набор голово 1/4"" и шестигранников TCS 40/41/44/8 Stahlwille 96830217"	ПП.ИН	96830217	Цех		2,00	0,00	2,00
183572	Рулетка 12931 N 77040004	ПП.ИН	77040004	Ин		2,00	0,00	2,00
183573	"Набор головок  1/2"" ударных колесных в пластике 3 пр. King Tony 4405MX"	ПП.ИН	4405MX	Ин		3,00	0,00	3,00
183573	"Набор головок  1/2"" ударных колесных в пластике 3 пр. King Tony 4405MX"	ПП.ИН	4405MX	Цех		4,00	0,00	4,00
183574	"Головка 3/8"" 17 мм. глубокая King Tony 323517M"	ПП.ИН	323517M	Ин		4,00	0,00	4,00
183579	Специнструмент Форд: 204-818 съемник	ПП.ИН	NOV-13-000167	Ин		1,00	0,00	1,00
183581	Специнструмент Форд: 303-1554-07 адаптер	ПП.ИН	303-1554-07	Ин		1,00	0,00	1,00
183582	Специнструмент Форд: 303-1554-08 адаптер	ПП.ИН	303-1554-08	Ин		1,00	0,00	1,00
183583	Специнструмент Форд: 308-939 инструмент для монтажа	ПП.ИН	308-939	Ин		1,00	0,00	1,00
183589	Стенд для фиксации двигателя, 303-435	ПП.ИН	303-435	Цех		1,00	0,00	1,00
183594	Держатель, 303-435-06	ПП.ИН	303-435-06	Цех		1,00	0,00	1,00
183595	Пластина установочная для 303-435-06, 303-435-11B	ПП.ИН	303-435-11B	Ин		1,00	0,00	1,00
183607	Губка для мытья автомобилей в логотипом Ford , 36000225	FO.АКС.ЛОК	36000225	Вт		1,00	0,00	1,00
183608	Маникюрный набор Ford (Richartz) , 34005960	FO.АКС.ЛОК	34005960	Вт		1,00	0,00	1,00
183609	Модель Ford Mustang 1:64 , 35021234	FO.АКС.ЛОК	35021234	4		1,00	1,00	0,00
183609	Модель Ford Mustang 1:64 , 35021234	FO.АКС.ЛОК	35021234	Вт		1,00	0,00	1,00
183611	Новогодняя поздравительная открытка Ford , 36000305	FO.АКС.ЛОК	36000305	4		3,00	0,00	3,00
183617	Плед-подушка дорожный Ford Oval , 36010531	FO.АКС.ЛОК	36010531	Вт		1,00	0,00	1,00
183618	Подушка-трансформер Ford Fiesta  , 36100295	FO.АКС.ЛОК	36100295	4		1,00	0,00	1,00
183618	Подушка-трансформер Ford Fiesta  , 36100295	FO.АКС.ЛОК	36100295	Вт		1,00	0,00	1,00
183638	"Переходник с золотником 1/4"" на баллон под быстросъем LP (134a)"	ПП.ИН	LP (134a)	Ин		1,00	0,00	1,00
183639	"Переходник с золотником 1/4"" на баллон под быстросъем HP (134a)"	ПП.ИН	HP (134a)	Ин		1,00	0,00	1,00
183641	LiquiMoly Антисептик-Освежитель кондиционера Klimafresh (0,15л), 7629	FO.РСХ	7629	1		1,00	0,00	1,00
1836462F	Шайба для крепления поводка стеклоочистителя	FO.ЗЧ	1836462	2		5,00	0,00	5,00
1836661F	Масло трансмиссионное (WSL-M2C192-A)	FO.ЗЧ.AM	1836661	1		1,90	0,00	1,90
1836674F	Масло трансмиссионное (WSL-M2C192-A)	FO.ЗЧ	1836674	1		1,75	1,20	0,55
183687	Замок КПП B-system 12.029 Kuga, AT, 2013-	FO.АКС	BSA12-029	2		2,00	0,00	2,00
183736	"TORX T9 на голове 1/4"" Hazet, 8502-T9"	ПП.ИН	8502-T9	Ин		1,00	0,00	1,00
183740	"TORX T25 на голове 1/2"" Hazet, 992-T25"	ПП.ИН	992-T25	Ин		1,00	0,00	1,00
183741	"TORX T30 на голове 1/2"" Hazet, 992-T30"	ПП.ИН	992-T30	Ин		1,00	0,00	1,00
183742	"TORX T40 на голове 1/2"" Hazet, 992-T40"	ПП.ИН	992-T40	ИнБр		1,00	0,00	1,00
183743	"TORX T45 на голове 1/2"" Hazet, 992-T45"	ПП.ИН	992-T45	Ин		1,00	0,00	1,00
183744	"TORX T50 на голове 1/2"" Hazet, 992-T50"	ПП.ИН	992-T50	ИнБр		1,00	0,00	1,00
183746	Набор TORX г-обр T8-T40 7пр, 2115-T/7R	ПП.ИН	2115-T/7R	Ин		1,00	0,00	1,00
1837803F	накладка (обтекатель) ветрового стекла	FO.ЗЧ	1837803	Бр		1,00	0,00	1,00
183783	Круг абразивн. HOOKIT, синий P80, 150 мм., 51109	МЛ.РСХ.АБР	51109	2		200,00	0,00	200,00
183784	Круг абразивн. HOOKIT, синий P120, 150 мм., 51111	МЛ.РСХ.АБР	51111	2		200,00	0,00	200,00
183785	Круг абразивн. HOOKIT, синий P220, 150мм, 51114	МЛ.РСХ.АБР	51114	2		200,00	0,00	200,00
183786	Круг абразивн. HOOKIT, синий, P400, 150мм., 51119	МЛ.РСХ.АБР	51119	2		100,00	0,00	100,00
183788	Скотч-брайт MX-HP S ULF серый 115х230мм 65076/64660	МЛ.РСХ.АБР	65076/64660	2		25,00	0,00	25,00
183790	Оправка HOOKIT BLUE мягкая, М8, Festo, 150мм., 51125	МЛ.РСХ.ОБ	51125	2		1,00	0,00	1,00
183790	Оправка HOOKIT BLUE мягкая, М8, Festo, 150мм., 51125	МЛ.РСХ.ОБ	51125	ИнБр		4,00	0,00	4,00
1837913F	Бампер задний	FO.ЗЧ.AM	1837913	Бр		1,00	0,00	1,00
183796	Винт барашек для 12011A	ПП.ЗЧ	12011A	Ин		3,00	0,00	3,00
183796	Винт барашек для 12011A	ПП.ЗЧ	12011A	ИнБр		18,00	0,00	18,00
183825	Подкрылок передний левый Tourneo custom, ORIG.16.53.001	FO.ЗЧ	ORIG.16.53.001	2		1,00	0,00	1,00
183826	Подкрылок передний правый Tourneo custom, ORIG.16.53.002	FO.ЗЧ	ORIG.16.53.002	2		1,00	0,00	1,00
183841	Сетка защитная в бампер/радиатор Ecosport 05-171414-15B	FO.АКС	05-171414-15B	2		1,00	0,00	1,00
183891	"Шина ""Roadstone"" 205/60/16 Winguard  92Q н/шип."	ШИНЫ.гр1	205/60/16	3		8,00	0,00	8,00
183900	Подкрылок задний левый FORD TOURNEO CUSTOM ORIG.16.53.003	FO.ЗЧ	ORIG.16.53.003	2		1,00	0,00	1,00
183901	Подкрылок задний правый FORD TOURNEO CUSTOM ORIG.16.53.004	FO.ЗЧ	ORIG.16.53.004	2		1,00	0,00	1,00
183903	"Тиски ручные ""струбцина"" глубокого захвата 6"" Jonnesway P53M06 48218 13938756"	ПП.ИН	P53M06 48218	Ин		1,00	0,00	1,00
183904	"Тиски ручные сварочные ""струбцина""  11"" Jonnesway P38M11A 48217 13938756"	ПП.ИН	P38M11A 48217	Ин		1,00	0,00	1,00
1839688F	ДЕТАЛЬ FORD	FO.ЗЧ	1839688	2		1,00	0,00	1,00
183978	"Шина ""Dunlop"" 235/55/17 Winter MAXX Sj8 R99  н/шип."	ШИНЫ.гр2	235/55/17	3		8,00	4,00	4,00
1840037F	Колодки тормозные	FO.ЗЧ	1840037	2		3,00	0,00	3,00
184049	Автосигнализация Pandora DXL 3210i	FO.АКС	3210i	Бр		1,00	0,00	1,00
184051	Автосигнализация Pandora DXL 3910	FO.АКС	39101007	Бр		2,00	0,00	2,00
184060	Пистолет для подкачки шин стрелочный манометр GAV, 60 G, 6518	ПП.ИН	60 G, 6518	Цех		1,00	0,00	1,00
184072	Клин пластм. 280х70х20мм.  07145838	ПП.ИН	07145838	Ин		1,00	0,00	1,00
184073	Клин пластм. UNI-L 190мм. 07145839	ПП.ИН	07145839	Ин		1,00	0,00	1,00
1840747F	Форсунка топливная	FO.ЗЧ	1840747	2		1,00	0,00	1,00
184080	Кувалда 4 кг. с фиберглассовой рукояткой GSF-04000	ПП.ИН	GSF-04000	Ин		1,00	0,00	1,00
184082	"Набор головок E-профиль E4-E24 1/4"",3/8"",1/2"" 14 пр. TBS-11005"	ПП.ИН	TBS-11005	Цех		2,00	0,00	2,00
184083	Домкрат подкатной 5т. 150-560 мм. NORBERG AUTOMATIVE N3205	ПП.ИН	N3205	2		1,00	0,00	1,00
184131	"Наконечник М 1/4"" D б/c A340/5 разъем пневмо быстросъемный М 1/4 папа, 11041"	ПП.ЗЧ	11041	Ин		7,00	0,00	7,00
184145	Съемник 2-х лапый 300мм. Кing Tony 7962-12	ПП.ИН	7962-12	Ин		1,00	0,00	1,00
1841958F	Коврик багажника, Ford Kuga 2013-	FO.АКС	1841958	2		4,00	0,00	4,00
184206	Инструмент монтажный, 308-901	ПП.ИН	308-901	Ин		1,00	0,00	1,00
184207	Инструмент монтажный, 308-902	ПП.ИН	308-902	Ин		1,00	0,00	1,00
184215	"Провода для прикуривания 4 метра 26 мм сечение провода 600 Ам. Т26 ""Супер"""	ПП.ИН	"Т26 ""Супер"""	Ин		1,00	0,00	1,00
184228	Замок КПП B-system 12.028 Explorer, AT, 2011- BSA12-028	FO.АКС	BSA12-028	2		1,00	0,00	1,00
1842632F	Колодки тормозные передние	FO.ЗЧ	1842632	2		3,00	0,00	3,00
1842766F	ДЕТАЛЬ FORD	FO.ЗЧ	1842766	2		2,00	0,00	2,00
1842816F	Датчик износа задних колодок	FO.ЗЧ	1842816	2		2,00	0,00	2,00
1842985F	Вентиляционный клапан	FO.ЗЧ	1842985	2		22,00	0,00	22,00
184301	Значок Ford Mustang, 35021240	FO.АКС.ЛОК	35021240	4		4,00	0,00	4,00
184301	Значок Ford Mustang, 35021240	FO.АКС.ЛОК	35021240	Вт		1,00	0,00	1,00
184340	"Набор головок 1/4"" + насадки HEX, TORX King Tony 9-7537MR"	ПП.ИН	9-7537MR	Ин		1,00	0,00	1,00
184340	"Набор головок 1/4"" + насадки HEX, TORX King Tony 9-7537MR"	ПП.ИН	9-7537MR	Цех		2,00	0,00	2,00
